,State,District,Latitude,Longitude,District name,Population,Male,Female,Literate,Households_with_Internet,Literacy rate,sex ratio
454,Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,Faizabad,2470996,1259628,1211368,1450901,4746,58.71725409510983,961.6871012711689
455,Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,Farrukhabad,1885204,1006240,878964,1092677,2624,57.96067693469779,873.5132771505804
456,Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,Fatehpur,2632733,1384722,1248011,1512166,3385,57.437119525603244,901.2718798430299
457,Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,Firozabad,2498156,1332046,1166110,1521806,5834,60.91717250644075,875.4277254689403
458,Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,Gautam Buddha Nagar,1648115,890214,757901,1122947,53181,68.13523328165813,851.369445998378
459,Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,Ghaziabad,4681645,2488834,2192811,3123264,78116,66.71296093573946,881.0595644386086
460,Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,Ghazipur,3620268,1855075,1765193,2197549,5309,60.70127957377741,951.5480506178995
461,Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,Gonda,3433919,1787146,1646773,1679994,4313,48.92351858037421,921.454094964821
462,Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,Gorakhpur,4440895,2277777,2163118,2700328,14597,60.805941144746726,949.6618852503998
463,Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,Hardoi,4092845,2191442,1901403,2221601,3845,54.28011566526463,867.6492464778898
464,Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,Jalaun,1689974,906092,783882,1075196,2217,63.622043889432625,865.1240712863595
465,Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,Jaunpur,4494204,2220465,2273739,2731677,8002,60.782220833767234,1023.9922718889962
466,Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,Jhansi,1998603,1057436,941167,1304513,8517,65.27124196251081,890.0463006744616
467,Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,Jyotiba Phule Nagar,1840221,963449,876772,983110,2825,53.42347468048675,910.0346774972002
468,Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,Kannauj,1656616,881776,774840,1017087,2488,61.3954591770211,878.726570013246
469,Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,Kanpur Dehat,1796184,963255,832929,1170243,2682,65.15162143744739,864.7024931093013
470,Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,Kaushambi,1599596,838485,761111,813424,1503,50.851840089622634,907.7216646690161
471,Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,Kushinagar,3564544,1818055,1746489,1954820,3486,54.84067527291009,960.6359543578164
472,Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,Lalitpur,1221592,641011,580581,641191,1079,52.48814661523651,905.7270468057491
473,Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,Lucknow,4589838,2394476,2195362,3127260,68506,68.13443088841044,916.8444369457034
474,Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,Mahoba,875958,466358,409600,488106,1316,55.72253464207188,878.2952152638102
475,Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,Mainpuri,1868529,993377,875152,1203885,2642,64.42955929503904,880.986775413564
