,State,District,Latitude,Longitude,District name,Population,Male,Female,Literate,Households_with_Internet,Literacy rate,sex ratio
491,Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,Sonbhadra,1862559,971344,891215,985708,5149,52.92224300008751,917.5070829695762
492,Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,Sultanpur,3797117,1914586,1882531,2239902,5956,58.9895439092343,983.2574770733726
493,Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,Unnao,3108367,1630087,1478280,1773584,3476,57.05838467594078,906.8718418096703
494,Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,Varanasi,3676841,1921857,1754984,2403903,19214,65.37957447711229,913.1709591296335
495,Uttaranchal,Almora,29.683532133676103,79.50165064267351,Almora,622506,291081,331425,436497,1830,70.11932415109253,1138.6005957104724
496,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,Bageshwar,259898,124326,135572,179483,435,69.0590154599112,1090.4557373357143
497,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,Chamoli,391605,193991,197614,280556,899,71.6425990475096,1018.6761241500894
498,Uttaranchal,Champawat,29.29142393939393,80.07720212121217,Champawat,259648,131125,128523,177726,548,68.44882302193739,980.1563393708294
499,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,Pithoragarh,483439,239306,244133,345550,1344,71.47747699296086,1020.1708273089685
500,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,Tehri Garhwal,618931,297986,320945,407994,1366,65.91914122898999,1077.047243830247
501,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,Udham Singh Nagar,1648902,858783,790119,1037839,7883,62.94121785284996,920.0449939041644
502,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,Uttarkashi,330086,168597,161489,215126,602,65.17271256581618,957.8402937181563
503,West Bengal,Bankura,23.081280892857155,87.12640053571437,Bankura,3596674,1838095,1758579,2232992,4273,62.08491511880143,956.7399943963724
504,West Bengal,Barddhaman,23.444453888888884,87.8150581111111,Barddhaman,7717563,3966889,3750674,5247208,32323,67.99047834141425,945.4950718308478
505,West Bengal,Birbhum,24.06389342723,87.65153089201888,Birbhum,3502404,1790920,1711484,2158447,5210,61.62758493880204,955.645143278315
506,West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,Dakshin Dinajpur,1676276,857199,819077,1083685,2518,64.64836339600399,955.5272462987008
507,West Bengal,Darjiling,26.839619571045585,88.33145067024122,Darjiling,1846823,937259,909564,1315585,10943,71.23503443481049,970.4510706218879
508,West Bengal,Haora,22.401674174428507,87.99421176968654,Haora,4850029,2500819,2349210,3605206,30751,74.33369986035136,939.3762603371135
509,West Bengal,Hugli,22.87929264705881,88.00010264705891,Hugli,5519145,2814653,2704492,4078388,31725,73.89528631699294,960.8616053204427
510,West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,Jalpaiguri,3872846,1983064,1889782,2498780,9322,64.5205102397565,952.9606709617037
511,West Bengal,Kolkata,22.550581481481483,88.3527648148148,Kolkata,4496694,2356766,2139928,3588137,136618,79.79500050481532,907.9934113102446
512,West Bengal,Maldah,25.08026802575105,88.17191684549356,Maldah,3988845,2051541,1937304,2086432,5357,52.30667022659442,944.3164918468605
513,West Bengal,Murshidabad,24.25950655391121,88.16816860465121,Murshidabad,7103807,3627564,3476243,4055834,7951,57.09380899565543,958.2857807608632
514,West Bengal,Nadia,23.56410971055088,88.58293034547152,Nadia,5167600,2653768,2513832,3480555,12787,67.35341357690223,947.268939862113
515,West Bengal,Puruliya,23.254192328767108,86.3968532876713,Puruliya,2930115,1496996,1433119,1624905,3551,55.455331957960695,957.3298793049547
516,West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,Uttar Dinajpur,3007134,1551066,1456068,1489667,2883,49.53776585945289,938.7530898104916
